Study Hours,Previous Exam Score,Pass/Fail
4.370861069626263,81.88970284118471,0
9.556428757689245,72.16578198064722,1
7.587945476302646,58.571656977179664,0
6.387926357773329,88.82770118241692,1
2.4041677639819286,81.08387035323275,0
2.403950683025824,49.75701636069348,0
1.5227525095137953,94.65563106963054,0
8.795585311974417,89.35223457539014,1
6.41003510568888,96.98799479751544,1
7.372653200164409,83.5431705033016,1
1.185260448662222,76.80491175614739,0
9.72918866945795,65.09458217743713,1
8.491983767203795,95.9637090012408,1
2.9110519961044856,91.9638333700245,0
2.636424704863906,42.713120206371364,0
2.650640588680904,41.58201846983512,0
3.7381801866358395,62.58780201268297,0
5.72280788469014,88.63319984690997,1
4.887505167779041,99.23656775889667,0
3.6210622617823773,49.02501346621169,0
6.506676052501415,75.6478429211281,1
2.2554447458683766,62.85345139786129,0
3.629301836816963,98.19486386887618,0
4.297256589643226,90.52713538814251,0
5.104629857953324,90.29972228266827,1
8.066583652537123,68.12158958769822,1
2.7970640394252375,64.8891701402599,0
5.628109945722504,56.40442431584238,0
6.331731119758382,43.382529799055625,0
1.4180537144799796,91.8833425753032,0
6.467903667112945,88.77406054780465,1
2.5347171131856236,99.98306039716783,0
1.5854643368675156,99.79821022443431,0
9.539969835279999,73.32590233615764,1
9.690688297671034,86.13924491083063,1
8.275576133048151,96.68594379294568,1
3.741523922560336,90.97884344064468,0
1.8790490260574548,54.84088610459186,0
7.158097238609412,67.03264811860561,1
4.961372443656412,47.7495649090897,0
2.0983441136030097,97.24306163552333,0
5.456592191001432,76.3704780670528,1
1.3094966900369656,53.71856833020776,0
9.18388361870904,80.30204106435141,1
3.3290198344001523,77.08769442747375,0
6.962700559185838,61.48976308197043,1
3.8053996848046987,46.81345553197774,0
5.680612190600297,80.29439173556798,1
5.920392514089517,71.2184620542276,1
2.6636900997297435,86.33910350413836,0
